covariance_type,n_components,iteration,precision,recall,f1-score
spherical,41,2,0.9111145281028441,0.90929619872036127,0.9096118940841057
spherical,41,3,0.9107933085350961,0.91004892736168608,0.90987161587117515
spherical,42,1,0.91755394500977061,0.91418893488897257,0.9153353970358441
spherical,42,2,0.91299532589573629,0.90967256304102373,0.91076582578190701
spherical,42,3,0.91561807284235441,0.91343620624764776,0.91409368586044148
spherical,43,1,0.91292661758140015,0.91117802032367334,0.91172964994052541
spherical,43,2,0.91964933313630726,0.91607075649228453,0.9170652910592928
spherical,43,3,0.91596324859365696,0.9130598419269853,0.91385065581173153
spherical,44,1,0.91889652874762306,0.91494166353029738,0.91592652578102474
spherical,44,2,0.91447272527163537,0.91117802032367334,0.9121205866308878
spherical,44,3,0.90064906370329723,0.89725254045916447,0.89797465337072702
spherical,45,1,0.91815478414968676,0.91682348513360934,0.91709833517540695
spherical,45,2,0.91372188494390749,0.91117802032367334,0.91170549627388409
spherical,45,3,0.91653104157920251,0.91531802785095973,0.91509674112657224
spherical,46,1,0.90469220247449245,0.90252164094843812,0.90294845727292905
spherical,46,2,0.91961192995150287,0.91832894241625895,0.9183594156282715
spherical,46,3,0.92068502658770002,0.91832894241625895,0.91849277272725582
spherical,47,1,0.91237038787873992,0.91080165600301088,0.91117247766317122
spherical,47,2,0.92194384704341237,0.91757621377493415,0.91873849663494567
spherical,47,3,0.91041734770047711,0.9066616484757245,0.90728950133271524
spherical,48,1,0.9168992783363209,0.91569439217162218,0.91554004548659662
spherical,48,2,0.91688576746429296,0.91569439217162218,0.91576300413407397
spherical,48,3,0.91003836114907843,0.90779074143771166,0.90820532990880276
spherical,49,1,0.92278224882525406,0.92133985698155818,0.92145910121876085
spherical,49,2,0.91444229448774639,0.91268347760632296,0.91325831020290293
spherical,49,3,0.91606385833850046,0.91456529920963492,0.91483495797016223
spherical,50,1,0.91585889305068546,0.9130598419269853,0.91382434688668757
spherical,50,2,0.91172212070346803,0.90854347007903646,0.90914592244212356
spherical,50,3,0.91736565683927884,0.91531802785095973,0.91549135937318804
tied,1,1,0.90158396171275534,0.86601430184418515,0.87134581623224761
tied,1,2,0.89711083037194683,0.85246518630033874,0.85799259666738537
tied,1,3,0.89342457402412934,0.85622882950696277,0.86003155556414956
tied,2,1,0.89228957301591949,0.84945427173503951,0.85461816406472157
tied,2,2,0.88985873518874459,0.85020700037636432,0.85174012426969181
tied,2,3,0.90075058109448303,0.86902521640948438,0.87270335463617132
tied,3,1,0.89174005948707658,0.84719608581106509,0.85024112526875939
tied,3,2,0.90334109936897633,0.8712834023334588,0.87390667282846957
tied,3,3,0.90028846443659549,0.86375611592021073,0.86723377664420587
tied,4,1,0.91204341032366121,0.88370342491531806,0.88791618902613956
tied,4,2,0.90180154416280089,0.87542340986074518,0.87902747711924534
tied,4,3,0.91238732998601713,0.8889725254045916,0.89332146960458603
tied,5,1,0.90432365892877931,0.87241249529544596,0.87607239581697371
tied,5,2,0.92790646909028907,0.90816710575837412,0.91160028000234816
tied,5,3,0.90807595381443185,0.88257433195333079,0.88704164115877115
tied,6,1,0.91589030515603076,0.8946179902145277,0.89812230130898618
tied,6,2,0.91607676628144707,0.89725254045916447,0.90054385003298054
tied,6,3,0.91571703996127796,0.89838163342115163,0.90120743905027778
tied,7,1,0.92307220037448268,0.90816710575837412,0.91106126712753877
tied,7,2,0.92038637874962692,0.90365073391042527,0.90672104879422255
tied,7,3,0.92005467017827736,0.90553255551373735,0.90876357674564701
tied,8,1,0.92222188962876428,0.90553255551373735,0.90862614518531126
tied,8,2,0.9194927422353778,0.90101618366578851,0.90420214830289558
tied,8,3,0.92053783966569214,0.90779074143771166,0.90968392206484927
tied,9,1,0.91535207266983654,0.89612344749717732,0.89961204055359878
tied,9,2,0.91220763391103132,0.89198343996989082,0.89567001497204524
tied,9,3,0.92080014413393674,0.90402709823108773,0.90697118493851925
tied,10,1,0.92992062284632537,0.9187053067369213,0.9205613094836842
tied,10,2,0.92429105163889225,0.91042529168234854,0.91346562709323509
tied,10,3,0.91957967499052617,0.90289800526910047,0.90535890516715833
tied,11,1,0.91552491411605974,0.90553255551373735,0.906825003689812
tied,11,2,0.92150638585496092,0.90365073391042527,0.90685677845906298
tied,11,3,0.93265523875724621,0.92435077154685741,0.92608628340464816
tied,12,1,0.92806327643341469,0.91945803537824611,0.92092429803254738
tied,12,2,0.92169646163302865,0.90477982687241254,0.90841002108017055
tied,12,3,0.92534767423405861,0.91080165600301088,0.91344280603536099
tied,13,1,0.92613662218475368,0.91418893488897257,0.91607476407156274
tied,13,2,0.92195794732725755,0.91004892736168608,0.91165134004740045
tied,13,3,0.92406419791462135,0.90816710575837412,0.91127820434633189
tied,14,1,0.92525532701751279,0.91381257056831011,0.91589288310406758
tied,14,2,0.92272492770923908,0.91042529168234854,0.91300637585189026
tied,14,3,0.93467907525849669,0.92698532179149418,0.92787087948835101
tied,15,1,0.92763760591912592,0.91607075649228453,0.91827216728384176
tied,15,2,0.92724572290860119,0.91494166353029738,0.91732694276787019
tied,15,3,0.9257064828127376,0.91644712081294688,0.91801635957674477
tied,16,1,0.92684794882015586,0.91795257809559649,0.91979130969159018
tied,16,2,0.92875396673162236,0.91117802032367334,0.91441859927971858
tied,16,3,0.9327015754404655,0.92585622882950691,0.92678380511213343
tied,17,1,0.92885380459358435,0.91757621377493415,0.91943339163465843
tied,17,2,0.9306326165294565,0.92547986450884456,0.92628389511272968
tied,17,3,0.92929410747346342,0.91682348513360934,0.91892462151235232
tied,18,1,0.93253967916605973,0.92472713586751976,0.92565884902712581
tied,18,2,0.92654565074944195,0.91795257809559649,0.91960946233217999
tied,18,3,0.93396498239278725,0.92773805043281898,0.9286681917353643
tied,19,1,0.93178331711756357,0.92058712834023337,0.92267676259946096
tied,19,2,0.93287383504749399,0.92435077154685741,0.92581920832813647
